dataset,n_instances,n_features,n_classes,dimensionality,log_n_instances,log_n_features,log_dimensionality,class_prob_min,class_prob_max,class_prob_mean,class_prob_std,class_imbalance_ratio,skewness_min,skewness_max,skewness_mean,skewness_std,kurtosis_min,kurtosis_max,kurtosis_mean,kurtosis_std,correlation_min,correlation_max,correlation_mean,correlation_std,class_entropy,normalized_class_entropy,pca_first_pc_variance,pca_95_percent_dims,pca_95_percent_ratio,tree_time,tree_depth,tree_n_leaves,nn_time,nb_time,pymfe_attr_to_inst,pymfe_can_cor.mean,pymfe_can_cor.sd,pymfe_cat_to_num,pymfe_cor.mean,pymfe_cor.sd,pymfe_cov.mean,pymfe_cov.sd,pymfe_eigenvalues.mean,pymfe_eigenvalues.sd,pymfe_freq_class.mean,pymfe_freq_class.sd,pymfe_g_mean.mean,pymfe_g_mean.sd,pymfe_gravity,pymfe_h_mean.mean,pymfe_h_mean.sd,pymfe_inst_to_attr,pymfe_iq_range.mean,pymfe_iq_range.sd,pymfe_kurtosis.mean,pymfe_kurtosis.sd,pymfe_lh_trace,pymfe_mad.mean,pymfe_mad.sd,pymfe_max.mean,pymfe_max.sd,pymfe_mean.mean,pymfe_mean.sd,pymfe_median.mean,pymfe_median.sd,pymfe_min.mean,pymfe_min.sd,pymfe_nr_attr,pymfe_nr_bin,pymfe_nr_cat,pymfe_nr_class,pymfe_nr_cor_attr,pymfe_nr_disc,pymfe_nr_inst,pymfe_nr_norm,pymfe_nr_num,pymfe_nr_outliers,pymfe_num_to_cat,pymfe_p_trace,pymfe_range.mean,pymfe_range.sd,pymfe_roy_root,pymfe_sd.mean,pymfe_sd.sd,pymfe_sd_ratio,pymfe_skewness.mean,pymfe_skewness.sd,pymfe_sparsity.mean,pymfe_sparsity.sd,pymfe_t_mean.mean,pymfe_t_mean.sd,pymfe_var.mean,pymfe_var.sd,pymfe_w_lambda
adult,48842,14,2,0.0002866385487899,4.688793439285537,1.146128035678238,-3.5426654036072995,0.2392817656934605,0.7607182343065395,0.5,0.2607182343065394,3.1791734405749983,-4.238837,11.894293,0.8644435,3.603265,-1.487645,152.67735,14.584589,38.857456,-0.5797968852311939,0.3596676843392155,0.0008298782552145,0.1107540636947482,0.7938438393644257,0.7938438393644257,0.1464351,13,0.9285714285714286,0.0030560493469238,10,92,5.833374977111816,0.0004441738128662,0.0028,0.5103311911865996,,0.0,0.0661658780639962,0.0915006469890642,93349.67655676932,815385.320382064,758828544.8046283,2822173879.393458,0.5,0.375615122166294,11323.44601595307,42344.46903793822,4774.507666960798,8984.429768006425,33594.90513065877,357.14285714285717,8628.0,32269.70873819714,13.75983791871256,38.05729585593448,0.3521515412909194,6419.658,24009.919801035907,82235.35714285714,279183.38186289155,13472.891714285714,50023.057369130285,12699.214285714286,47471.787030547166,984.8571428571428,3679.532178816357,14,1,0,2,0.0109890109890109,1,5000,0.0,14,10,,0.2604379246979337,81250.5,275520.8343837177,0.3521515412909194,7924.786463016685,27378.217423125352,,0.8063498303906782,3.676903031655367,0.1003467948814717,0.1318809095937722,12590.12211904762,47063.524905310325,758828544.8046281,2822172226.8267875,0.7395620753020663
fashion_mnist,70000,784,10,0.0112,4.845098040014257,2.8943160626844384,-1.9507819773298185,0.1,0.1,0.1,0.0,1.0,-0.86815614,155.90785,3.6218448,12.715048,-1.7364832,26175.979,199.65878,1645.31,-0.6570591577644114,0.9555802023096792,0.158517405822959,0.2330219227651381,3.321928094887362,1.0,0.21848392,51,0.0650510204081632,0.3229491710662842,10,114,8.088441848754883,0.002073049545288,0.1568,0.8155198592868298,0.127636963882826,0.0,0.2145141012882146,0.1832124677876321,0.0207525663284787,0.0229929256383538,0.0876114376241654,0.8685285852124177,0.0999999999999999,0.0049549077802832,0.0,0.0,6.409982577749463,0.0,0.0,6.377551020408164,0.4228316406477053,0.3115176529575913,75.99975262208962,411.9504222430684,38.593781108307375,0.1987071106556557,0.2253298577845418,0.9751150471049038,0.0959693654530969,0.2861464477189863,0.1950351982025758,0.2311224554797838,0.2672030569198572,0.0,0.0,784,1,0,10,0.0869399483931503,9,5000,0.0,784,292,,6.115983324414704,0.9751150471049038,0.0959693654530969,16.628297158422985,0.2758445924184532,0.1074053659364294,,2.9681656195148487,7.936123005457041,0.0075815496217042,0.0231601492287799,0.2483697457161738,0.2312613945463142,0.0876114376241654,0.0470939595735444,4.867719077919859e-06
mnist,70000,784,10,0.0112,4.845098040014257,2.8943160626844384,-1.9507819773298185,0.0901857142857142,0.1125285714285714,0.1,0.0054117747664189,1.2477427530492633,-0.2354919,264.56955,31.078772,61.408604,-1.8253847,69995.03,4894.365,14456.829,-0.4352367940810644,1.0,0.0213202016737562,0.1018201981827245,3.319837025403414,0.999370525362314,0.061207745,51,0.0650510204081632,0.1483840942382812,10,160,8.676215171813965,0.0055429935455322,0.1568,0.7982244026904768,0.097264147608604,0.0,,,0.0039700603272462,0.0110309903355421,0.0671570033924182,0.3370544682082296,0.1,0.0079313723066482,0.0,0.0,4.8597661460091075,0.0,0.0,6.377551020408164,0.2440638778070748,0.3868584581514185,,,21.590360312920005,0.0634658404164623,0.168785665500768,0.7987995209262649,0.3789406596282962,0.130222371073869,0.1657483859739184,0.0465761317737277,0.1279751033353918,0.0,0.0,784,22,0,10,0.0075976750853598,9,5000,121.0,784,450,,5.810142288735342,0.7987995209262649,0.3789406596282962,5.057212836959032,0.1928640072334812,0.1732014486300479,,,,0.1968877366817484,0.3575359358963813,0.084526215205798,0.1494517866147254,0.0671570033924182,0.076484181053768,3.91200936041408e-05
letter,20000,16,26,0.0008,4.301029995663981,1.2041199826559248,-3.096910013008056,0.0367,0.04065,0.0384615384615384,0.0011362309228581,1.1076294277929153,-0.3100561,1.1598878,0.29027528,0.4551964,-0.42137384,2.0744247,0.69726336,0.67075074,-0.384017936413039,0.8515139960074557,0.0906676940865542,0.2616839674129016,4.699810726573161,0.9998661845262043,0.27129793,12,0.75,0.0029420852661132,10,129,21.652442932128903,0.0020060539245605,0.0032,0.4644453037694303,0.2741871820638362,0.0,0.186294772380091,0.2111049642576457,0.9791447842901914,1.1875689272057854,5.3772574214842965,6.481318544784579,0.0384615384615384,0.0026549692161043,0.9915255624762432,2.7112595463105293,7.894150988362614,0.9574080222940466,2.619276924833857,312.5,2.5625,0.7274384280931732,0.6712627473315753,0.6885394718653738,11.630518513212817,2.038575,0.7413,14.6875,0.6020797289396148,5.934125,1.8164517835604663,5.75,1.914854215512676,0.125,0.3415650255319866,16,0,0,26,0.125,16,5000,0.0,16,15,,4.579030205217263,14.5625,0.6291528696058958,3.7961718476206094,2.281519316494566,0.428239222798305,1.888652142069343,0.2767681256268912,0.4800430991579594,0.0641729536383467,0.0027228506681519,5.853166666666667,1.9224868539742224,5.3772574214842965,2.071429770087705,0.0011364430266788
covertype,406708,54,7,0.0001327733902455,5.6092827151183435,1.7323937598229686,-3.876888955295375,0.0,0.4875979818444683,0.125,0.1774488834974031,inf,-1.174847520378614,637.7342706862397,24.20583891515292,85.85986520176195,-1.9565543622111532,406703.0000059597,7956.238174839147,54782.5065196335,-0.7933029511186211,0.6465221115740086,-0.0095746081512858,0.086090448811214,1.738682706850678,0.5795609022835594,0.0720650229713535,42,0.7777777777777778,0.0074059963226318,10,118,10.92129683494568,0.0015082359313964,0.0108,0.4896248349140953,0.2434142923175157,0.0,,,729.4279439608675,18703.32080240803,81438.14691582831,432516.34656992025,0.1428571428571428,0.1998390590545539,,,2118.7434398190585,,,92.5925925925926,87.41203703703704,363.0614882346631,,,4.587012849559097,61.857366666666664,256.7398099722495,384.3333333333333,1416.376442339781,154.31887777777777,567.2670571214624,141.61111111111111,529.7549599674012,36.7962962962963,256.0179371391136,54,42,0,7,0.0062893081761006,6,5000,2.0,54,49,,1.734647462310115,347.537037037037,1346.57240223147,3.160533552992285,67.8281079370287,279.79860389261523,,,,0.4267383476852348,0.2241393098909945,144.67765432098764,538.2573354916416,81438.14691582834,410079.1286831941,0.074972571937511
bank,45211,16,2,0.0003538961757094,4.6552441130877975,1.2041199826559248,-3.451124130431873,0.1169848045829554,0.8830151954170445,0.5,0.3830151954170445,7.548118737001324,-1.9734956,41.845074,4.324127,10.073918,-1.9494839,4506.3613,297.40805,1087.3234,-0.8583616427210495,0.4548196354805009,-0.0114306387811172,0.1306462702721095,0.5206312212538164,0.5206312212538164,0.13181481,11,0.6875,0.0027098655700683,10,54,12.122406959533691,0.0004241466522216,0.0032,0.4703466202985265,,0.0,,,186.41471869673927,1671.9176493014204,383029.4011847594,1514552.8515609915,0.5,0.6643975316028801,,,792.6447306384565,,,312.5,67.03125,211.7705101243639,,,0.2840694824153802,37.80629999999999,114.30451786976752,3880.375,14600.961785101692,81.38331249999999,243.0343193970867,35.9375,86.72521259702971,-204.5625,828.9328053789,16,3,0,2,0.0,1,5000,5.0,16,7,,0.2212259432262462,4084.9375,15428.59560024286,0.2840694824153802,171.37069766901632,614.1977837061448,,,,0.456286336006686,0.4168493890207926,41.712854166666666,105.48427632534158,383029.40118475945,1514538.0259122502,0.7787740567737538
shuttle,50000,9,7,0.00018,4.698970004336019,0.9542425094393248,-3.744727494896694,0.00018,0.78596,0.1428571428571428,0.2676937891223737,4366.444444444444,-20.406319,30.276411,2.328789,12.1758585,0.5318072,7043.2983,1624.4042,2545.0684,-0.9150604298191268,0.860179234889665,-0.0090210509681057,0.3327162484301508,0.9603897967354528,0.3420977480223807,0.3492674,6,0.6666666666666666,0.0010268688201904,5,10,0.0090010166168212,0.0003778934478759,0.0018,0.2909153705385647,0.3685698166457943,0.0,0.1935629060895612,0.2767336971101617,111.69490946078103,153.5406426659717,4881.067522757882,9246.677258543905,0.1428571428571428,0.2883377351714644,,,2562.153549926405,,,555.5555555555555,11.444444444444445,7.939003575876369,804.5307827991976,1343.3683721819768,8.098428895393543,7.083533333333333,5.282394662461334,1416.5555555555557,1932.4509121263025,30.09928888888889,29.22941218227132,28.333333333333332,29.3981291921782,-1629.4444444444443,3615.151937025299,9,0,0,7,0.1666666666666666,6,5000,0.0,9,9,,1.1870090656051149,3046.0,5067.761019424654,7.706490852407527,48.39487220793285,53.445105950664,,1.856915397074116,25.382444598229768,0.0170041389732271,0.0049314089666871,28.64762962962963,29.24915797717016,4881.067522757884,9229.435501164904,0.0815438533720705
creditcard,50000,29,2,0.00058,4.698970004336019,1.462397997898956,-3.2365720064370627,0.00172,0.99828,0.5,0.49828,580.3953488372093,-8.58599,9.468725,-0.72100586,3.3672128,0.19118166,461.95578,72.85548,111.311905,-0.5110996910425786,0.3307030636678595,-0.0004073536739468,0.0451550976218746,0.0182747064492018,0.0182747064492018,0.06220059,27,0.9310344827586208,0.0003619194030761,0,1,12.731328010559082,0.0003969669342041,0.0058,0.7829379300096382,,0.0,0.029528534090981,0.0428443022609853,1.6269934932299992,10.787863358490608,1354.6102933789246,7288.952457208846,0.5,0.7045611967742759,,,31.153598560004305,,,172.41379310344828,3.478188183704584,13.380104770446993,78.32240744011916,166.53533952177742,1.5839245933499249,1.8061834089301725,5.780948862390315,141.141032514901,713.3121614493106,2.9875562946569527,16.097112920829712,0.798534619053906,4.314810676852549,-13.861791100995294,11.682751789415027,29,0,0,2,0.0,1,5000,0.0,29,29,,0.612991802247777,155.0028236158963,710.7690550753115,1.5839245933499249,7.782754993395287,36.609489170285705,,-0.5619366656914175,4.55235823077769,7.533659401789496e-06,3.814844826547316e-05,1.12011659034144,6.006689249969711,1354.6102933789246,7288.716245550961,0.3870081977522229
pendigits,10992,16,10,0.0014556040756914,4.041076719715475,1.2041199826559248,-2.8369567370595505,0.0959788937409024,0.1040756914119359,0.1,0.0040032833623482,1.0843601895734598,-1.4909796,0.948135,-0.039190806,0.6547523,-1.6855721,3.0488148,-0.50136083,1.1107631,-0.7947610252371943,0.8572048615099624,-0.0211215675100161,0.3383750832454361,3.320771738890595,0.9996519021593072,0.292668,10,0.625,0.0041069984436035,10,87,8.566328763961792,0.0005328655242919,0.0032,0.6817263672473906,0.2214472427686211,0.0,0.2708117154834876,0.203094830719007,243.7075297336134,209.4461910779061,937.5410652380478,1338.9998325005413,0.1,0.0044711420365619,0.0,0.0,170.58769098927104,0.0,0.0,312.5,49.1875,18.956858917025254,-0.4995979481015831,1.186294261729015,16.8411142999604,32.061225,12.173280620687262,100.0,0.0,50.721675000000005,16.518208237598493,50.03125,22.762885544968444,0.0,0.0,16,0,0,10,0.125,9,5000,0.0,16,2,,4.575068608841512,100.0,0.0,7.141553164104604,29.95349303943969,6.558806393384771,,-0.0465874731601084,0.6835905104059877,0.0097951125931948,0.0002518889262078,50.09289583333333,20.58022479009032,937.5410652380476,382.8740092201414,0.0004305252447926
satimage,6430,36,6,0.0055987558320373,3.808210972924222,1.5563025007672873,-2.2519084721569347,0.0972006220839813,0.2381026438569206,0.1666666666666666,0.0619039769368887,2.4496,-0.67385453,0.919281,0.04045082,0.55773723,-0.92004585,1.2760587,-0.15493003,0.83337057,-0.1848213384725727,0.960662137892202,0.4242659420215611,0.4123047833538351,2.4833618760456604,0.9606955131275016,0.45380718,6,0.1666666666666666,0.0244507789611816,10,96,8.785094738006592,0.0013833045959472,0.0072,0.606006366335501,0.3897615310970838,0.0,0.4959156694604565,0.3230604037600531,0.494895509681556,0.3223714378483718,0.9978768695383023,3.542950763360215,0.1666666666666666,0.0687052448264808,,,4.432947110038443,,,138.88888888888889,1.4306069985032082,0.1691131383971945,-0.1387254287101734,0.8563330595954644,15.600089030082705,1.0200193071135009,0.1296177757377186,2.7812534835603504,0.6670768378341024,0.0041783175696075,0.0038154012638468,0.00164411123842,0.0948717229791445,-2.5723147789637246,0.2785397289891021,36,0,0,6,0.4857142857142857,5,5000,0.0,36,9,,2.443874784688359,5.353568262524075,0.8291183483781803,7.072606274408589,0.9989352072207176,0.0023395193363124,1.3009085764563073,0.0385030924853237,0.573715259804403,0.0136980371768311,0.0038140580797804,0.0231814298059886,0.07727673227955,0.9978768695383028,0.0046742303279862,0.005568085538148
